Date,Open,High,Low,Close,Adj Close,Volume
2022-05-27,212.889999,220.100006,212.889999,219.669998,217.370346,2146600
2022-05-31,217.779999,225.910004,215.169998,224.580002,222.228958,3063800
2022-06-01,225.000000,226.330002,216.259995,218.669998,216.380829,1987300
2022-06-02,218.589996,224.410004,218.250000,221.520004,219.200989,1642100
2022-06-03,219.889999,221.270004,217.740005,218.699997,216.410507,1379600
2022-06-06,221.000000,225.149994,219.949997,222.850006,220.517059,1562900
2022-06-07,218.929993,221.970001,216.589996,221.369995,219.052551,1115100
2022-06-08,217.880005,220.529999,215.729996,217.169998,214.896530,1556300
2022-06-09,217.199997,221.360001,215.399994,217.000000,214.728302,1846500
2022-06-10,214.139999,215.119995,206.630005,206.770004,204.605408,2263300
2022-06-13,201.500000,205.050003,198.419998,200.979996,198.876007,1983000
2022-06-14,220.399994,232.289993,219.580002,229.949997,227.542725,13008700
2022-06-15,230.750000,239.210007,229.350006,232.779999,230.343109,5035800
2022-06-16,226.360001,227.419998,223.410004,225.309998,222.951309,3063700
2022-06-17,224.100006,231.429993,222.860001,229.899994,227.493256,5287600
2022-06-21,234.149994,236.500000,228.860001,230.520004,228.106766,2342200
2022-06-22,227.149994,231.750000,227.139999,229.020004,226.622482,2033600
2022-06-23,229.500000,230.250000,224.360001,228.130005,225.741791,4305100
2022-06-24,237.020004,248.759995,236.339996,243.240005,241.913101,8395200
2022-06-27,246.940002,247.929993,240.199997,240.470001,239.158203,2536800
2022-06-28,244.000000,248.149994,239.619995,240.089996,238.780273,2587800
2022-06-29,241.000000,242.000000,226.699997,233.809998,232.534531,3736800
2022-06-30,229.639999,230.910004,222.979996,226.710007,225.473267,3676800
2022-07-01,222.589996,224.589996,217.710007,223.610001,222.390182,2591700
2022-07-05,220.600006,230.970001,218.720001,229.610001,228.357452,2862700
2022-07-06,227.940002,230.169998,225.009995,227.720001,226.477753,1674200
2022-07-07,230.190002,231.860001,225.740005,231.350006,230.087967,1626000
2022-07-08,232.210007,232.929993,228.000000,230.490005,229.232651,1092600
2022-07-11,228.649994,231.250000,223.839996,224.190002,222.967010,1717700
2022-07-12,223.330002,227.520004,221.800003,222.979996,221.763611,2058700
2022-07-13,220.660004,220.919998,214.880005,216.130005,214.950989,1992500
2022-07-14,211.809998,214.460007,210.410004,214.289993,213.121017,1533600
